MEM_MATCH_ID,richness,RA_cen,DEC_cen,Z_LAMBDA,P_CEN1,Mr01_BCG,color_BCG,M200m_h07
1654,45.113174,355.8655649732445,-10.425073162988097,0.18235311,0.9815633,-22.004253,1.0007954,4.1042218240568325E14
1658,61.497017,348.93771415822897,0.8867328708191784,0.34640917,0.8962484,-22.403713,0.94916725,5.735160017086171E14
1659,21.391687,223.4823498927533,22.12157495732278,0.115081765,0.89218396,-21.37407,0.9722252,1.833360298427369E14
1665,60.33764,222.8729750835146,21.83100557757359,0.26410234,0.6506611,-22.222288,0.9413128,5.618475671244867E14
1667,79.72671,195.368293010293,60.82651654273841,0.33477727,0.85757387,-22.956366,0.9627609,7.591285220611635E14
1671,67.18712,153.0125850859754,29.00403180745822,0.3374781,0.99997747,-22.584265,1.0483379,6.31033019765169E14
1673,64.05985,220.6166716921714,32.57871050584902,0.24376795,0.6927045,-23.316809,1.0082321,5.993714204248038E14
1674,47.00479,150.25784911757304,28.166961445174802,0.19398159,0.7196147,-22.465775,0.97070694,4.2903889399146106E14
1675,48.07264,169.58046073154514,16.72616115457508,0.16307732,0.99853647,-22.361254,1.0328598,4.3957499346187594E14
1682,35.53305,260.63168663070763,33.05251990522458,0.105884336,0.6406011,-21.843178,0.9999237,3.171511179446453E14
1683,54.76957,216.84120729764805,0.9455020744079661,0.29222113,0.7391833,-22.051409,1.0075951,5.060642555631799E14
1687,64.50224,129.70966554789973,42.13139224488585,0.25282863,0.95608366,-22.577301,1.001503,6.038428931578698E14
1689,36.96702,160.269054714045,-0.724398867540987,0.13664563,0.95607316,-22.323147,1.0271072,3.309959703291574E14
1690,58.339233,133.7509900689755,30.347871081612862,0.30182013,0.99869895,-22.610556,0.8517151,5.417772496211281E14
1692,39.773933,208.37739456955762,6.94532299653551,0.15090339,0.9848519,-22.427181,0.9957981,3.582198297834719E14
1696,52.496582,247.59339934036126,57.29099116821666,0.26743692,0.9724096,-22.634819,1.0097866,4.834200623599419E14
1698,42.85544,195.75062201213478,51.31274106582539,0.1247356,0.5454676,-21.72694,1.0850754,3.882840715630972E14
1699,55.883186,206.56875671701022,-2.461468683508725,0.22094142,0.8312541,-22.557625,0.9762707,5.171860397445012E14
1701,50.589706,234.72879540204923,33.68529968681204,0.18793139,0.9032856,-22.122152,1.02454,4.644835125069711E14
1704,55.34926,169.83866928158992,29.825395783400502,0.34206286,0.94005185,-22.61749,0.10892105,5.11851439949858E14
1705,62.213997,196.8236348022302,36.25224423063547,0.3200967,0.84524775,-22.370472,1.0323753,5.807407723672322E14
1708,50.116806,260.74895823494955,29.460259321457333,0.20015378,0.92147577,-22.630533,1.0032349,4.5979604966506525E14
1709,58.93418,354.4839158454956,24.842628468010087,0.29256433,0.9989452,-23.256842,1.026022,5.477467329295672E14
1715,60.70376,187.06727152392543,49.83951223261762,0.27108172,0.999947,-23.400215,1.0553665,5.655304854645024E14
1718,49.979507,197.4506143807664,13.09541248311683,0.17697184,0.98966885,-22.691193,1.0062027,4.584357693340105E14
1722,54.52549,151.17416476083338,-1.4479413406787478,0.31109536,0.6937318,-22.228834,0.9470711,5.0362897920272094E14
1724,61.558037,135.54488350838085,61.394977125464024,0.2673986,0.8662634,-22.38007,0.93626785,5.741306211973918E14
1725,43.54191,215.56541408272955,49.71883915517723,0.1916752,0.5254505,-21.952032,1.0376034,3.950055816524415E14
1729,43.038498,183.3029276623583,6.073599175530967,0.13293107,0.97845465,-21.932245,0.97506714,3.9007565990930725E14
1730,37.150078,216.74839778075108,34.19988416290976,0.13437581,0.9999768,-23.098011,0.97948647,3.3276654378654125E14
1731,51.199905,351.6803466017115,1.1342252634524903,0.28613997,0.542571,-21.897497,0.97420883,4.705371026965903E14
1732,48.54554,18.834460740846634,24.484777799820623,0.19826408,0.5160732,-21.772429,0.9425888,4.4424697172888206E14
1733,59.78846,21.107163657899918,32.81612756617045,0.2755952,0.9997685,-23.132425,1.0287361,5.563267266504543E14
1736,49.109978,144.13270306899253,23.709847846971762,0.20989382,0.99999034,-23.20557,1.0020905,4.4982801467699094E14
1739,47.61499,175.18951015544195,18.344021103244906,0.18479708,0.9996156,-22.983812,0.98489,4.3505721010122625E14
1740,49.689667,139.48926264235723,9.853229082668701,0.1861954,0.8596037,-21.982866,1.0319862,4.555651869894402E14
1742,41.3757,29.49781505059576,-0.6097047332057574,0.1815913,0.5238118,-21.9048,0.91326904,3.738248657892987E14
1743,58.323982,139.7092262817801,2.2008911215036435,0.2955275,0.9913544,-23.044619,1.0476665,5.4162426964029744E14
1745,60.33764,245.78868811212465,14.363736557833082,0.3445008,0.9923582,-23.246956,1.0049057,5.618475671244867E14
1748,38.736595,231.47173649417635,28.459094982550926,0.1464114,0.99447244,-22.737951,1.0008373,3.4814032815195494E14
1749,44.563995,358.34420871816013,8.247145108506366,0.17562543,0.96842515,-21.99236,0.99367905,4.0502889226431344E14
1755,54.967888,162.83296027546456,5.092346442420323,0.22636534,0.9896211,-22.836525,1.0114784,5.080435420949144E14
1756,48.51503,259.06195311696536,29.30800854302664,0.28233463,0.52352715,-22.29984,0.93507767,4.4394542326652025E14
1761,48.24044,11.006552118617265,10.619570207657576,0.20230901,0.83480275,-22.020868,1.0724049,4.412323706369698E14
1763,52.160973,130.73311065836265,29.457497467417696,0.20600864,0.9998925,-22.84051,0.78974724,4.8008320539601425E14
1766,47.3404,244.60420296000711,9.179063473444351,0.14888959,0.99470836,-22.785702,1.021595,4.323481695008949E14
1768,52.313522,260.86723587358216,32.82034829108144,0.23039307,0.9768982,-22.52122,1.0336075,4.815997397595953E14
1769,56.584915,200.5877441564421,4.134160611703118,0.2693355,0.9030963,-22.77606,1.0030804,5.242034439464E14
1771,44.091087,176.70204837046026,23.492076887455596,0.18154499,0.7253813,-21.83928,1.0088806,4.0038890962332925E14
1772,52.466072,185.49079370650986,-1.1342194784667832,0.2667517,0.84031796,-22.384516,1.0751419,4.831166300984787E14
1775,50.437157,178.1827781457253,27.3214100844061,0.1830616,0.99963635,-23.006477,1.0169716,4.629710366605277E14
1777,62.458076,45.18447735173973,-7.713043523920805,0.34127334,0.8957876,-22.250786,0.9153309,5.832018265864422E14
1779,49.750687,236.8573964744008,10.571625579474693,0.24070211,0.9563766,-22.886631,0.9850292,4.561694335916178E14
1785,56.996796,23.614140612661345,4.535618520155236,0.2599007,0.986933,-22.804565,1.008707,5.283255922089204E14
1787,52.176224,245.25422854801332,25.77235288653705,0.19481778,0.99982834,-22.304377,0.9844742,4.80234832606484E14
1789,58.446022,203.5952774394452,37.476834229379456,0.3082204,0.97949463,-23.385626,1.0237122,5.428483493245456E14
1791,60.24611,171.20175422478087,24.458027478965477,0.31045032,0.9984975,-22.808441,0.9838524,5.609272478178118E14
1793,39.606125,175.5308436417679,10.149333146038117,0.12401172,0.63304716,-21.991674,0.95583534,3.5658781531403694E14
1794,55.898438,31.320630050277884,17.936404336802582,0.20059592,0.8508572,-22.440514,0.9317875,5.1733853103060006E14
1795,59.49861,214.55612925188262,9.8773329941645,0.33294275,0.9697845,-23.055334,0.78801155,5.534145351177619E14
1797,56.432365,207.3640141717426,35.47968167299659,0.24972704,0.9970882,-22.216375,1.1114788,5.226773537099674E14
